sharpe_total,sharpe_invested,pct_time_in_market,max_dd_strategy,total_return_pct,total_return_50_50,sharpe_50_50,max_dd_50_50,pair,entry,exit,window,floor,adf_statistic,p_value
-0.6651755722811218,-1.021452346713134,42.4468085106383,-1240529.0213906039,-26.084292662108936,402.23181387134457,1.2153238409536091,-2.270080495534553,BTC/USDT/ETH/USDT,2.0,0.05,40,0.0,-0.8441921034769314,0.8057951966792446
-0.6651755722811218,-1.021452346713134,42.4468085106383,-1240529.0213906039,-26.084292662108936,402.23181387134457,1.2153238409536091,-2.270080495534553,BTC/USDT/ETH/USDT,2.0,0.05,40,0.5,-0.8441921034769314,0.8057951966792446
0.01889282592794068,0.02848334104140758,43.93617021276596,-364426.14944401407,0.6980420461383243,402.23181387134457,1.2153238409536091,-2.270080495534553,BTC/USDT/ETH/USDT,2.0,0.05,50,0.0,-0.8441921034769314,0.8057951966792446
0.01889282592794068,0.02848334104140758,43.93617021276596,-364426.14944401407,0.6980420461383243,402.23181387134457,1.2153238409536091,-2.270080495534553,BTC/USDT/ETH/USDT,2.0,0.05,50,0.5,-0.8441921034769314,0.8057951966792446
-0.22913774784898186,-0.39486564072840147,33.61702127659574,-544557.3383254899,-7.981015146457533,402.23181387134457,1.2153238409536091,-2.270080495534553,BTC/USDT/ETH/USDT,2.0,0.05,60,0.0,-0.8441921034769314,0.8057951966792446
-0.22913774784898186,-0.39486564072840147,33.61702127659574,-544557.3383254899,-7.981015146457533,402.23181387134457,1.2153238409536091,-2.270080495534553,BTC/USDT/ETH/USDT,2.0,0.05,60,0.5,-0.8441921034769314,0.8057951966792446
0.12974045472126539,0.2231943981935717,33.72340425531915,-683900.1921511309,7.089787005162314,402.23181387134457,1.2153238409536091,-2.270080495534553,BTC/USDT/ETH/USDT,2.0,0.25,40,0.0,-0.8441921034769314,0.8057951966792446
0.12974045472126539,0.2231943981935717,33.72340425531915,-683900.1921511309,7.089787005162314,402.23181387134457,1.2153238409536091,-2.270080495534553,BTC/USDT/ETH/USDT,2.0,0.25,40,0.5,-0.8441921034769314,0.8057951966792446
-0.24018239705157207,-0.42406851636149795,32.02127659574468,-591545.0025591939,-7.235579656952947,402.23181387134457,1.2153238409536091,-2.270080495534553,BTC/USDT/ETH/USDT,2.0,0.25,50,0.0,-0.8441921034769314,0.8057951966792446
-0.24018239705157207,-0.42406851636149795,32.02127659574468,-591545.0025591939,-7.235579656952947,402.23181387134457,1.2153238409536091,-2.270080495534553,BTC/USDT/ETH/USDT,2.0,0.25,50,0.5,-0.8441921034769314,0.8057951966792446
-0.3527040428276189,-0.6504607233747277,29.361702127659573,-563455.9204396892,-11.583978902959219,402.23181387134457,1.2153238409536091,-2.270080495534553,BTC/USDT/ETH/USDT,2.0,0.25,60,0.0,-0.8441921034769314,0.8057951966792446
-0.3527040428276189,-0.6504607233747277,29.361702127659573,-563455.9204396892,-11.583978902959219,402.23181387134457,1.2153238409536091,-2.270080495534553,BTC/USDT/ETH/USDT,2.0,0.25,60,0.5,-0.8441921034769314,0.8057951966792446
-0.8385394409920667,-1.6011401261845113,27.5531914893617,-723573.4973901383,-18.709706648299527,402.23181387134457,1.2153238409536091,-2.270080495534553,BTC/USDT/ETH/USDT,2.5,0.05,40,0.0,-0.8441921034769314,0.8057951966792446
-0.8385394409920667,-1.6011401261845113,27.5531914893617,-723573.4973901383,-18.709706648299527,402.23181387134457,1.2153238409536091,-2.270080495534553,BTC/USDT/ETH/USDT,2.5,0.05,40,0.5,-0.8441921034769314,0.8057951966792446
-0.1400132049200102,-0.2705868964547517,26.702127659574472,-410880.57946379797,-3.673966318600626,402.23181387134457,1.2153238409536091,-2.270080495534553,BTC/USDT/ETH/USDT,2.5,0.05,50,0.0,-0.8441921034769314,0.8057951966792446
-0.1400132049200102,-0.2705868964547517,26.702127659574472,-410880.57946379797,-3.673966318600626,402.23181387134457,1.2153238409536091,-2.270080495534553,BTC/USDT/ETH/USDT,2.5,0.05,50,0.5,-0.8441921034769314,0.8057951966792446
-0.18701493887088597,-0.37671760226655693,24.574468085106382,-373946.7981084249,-4.972850444081912,402.23181387134457,1.2153238409536091,-2.270080495534553,BTC/USDT/ETH/USDT,2.5,0.05,60,0.0,-0.8441921034769314,0.8057951966792446
-0.18701493887088597,-0.37671760226655693,24.574468085106382,-373946.7981084249,-4.972850444081912,402.23181387134457,1.2153238409536091,-2.270080495534553,BTC/USDT/ETH/USDT,2.5,0.05,60,0.5,-0.8441921034769314,0.8057951966792446
-0.6923736497964074,-1.4848566162656096,21.808510638297875,-604069.1820749982,-15.179178286476843,402.23181387134457,1.2153238409536091,-2.270080495534553,BTC/USDT/ETH/USDT,2.5,0.25,40,0.0,-0.8441921034769314,0.8057951966792446
-0.6923736497964074,-1.4848566162656096,21.808510638297875,-604069.1820749982,-15.179178286476843,402.23181387134457,1.2153238409536091,-2.270080495534553,BTC/USDT/ETH/USDT,2.5,0.25,40,0.5,-0.8441921034769314,0.8057951966792446
-0.0877327757523674,-0.1848447245611364,22.4468085106383,-410880.57946379797,-2.3120177952346346,402.23181387134457,1.2153238409536091,-2.270080495534553,BTC/USDT/ETH/USDT,2.5,0.25,50,0.0,-0.8441921034769314,0.8057951966792446
-0.0877327757523674,-0.1848447245611364,22.4468085106383,-410880.57946379797,-2.3120177952346346,402.23181387134457,1.2153238409536091,-2.270080495534553,BTC/USDT/ETH/USDT,2.5,0.25,50,0.5,-0.8441921034769314,0.8057951966792446
