sharpe_total,sharpe_invested,pct_time_in_market,max_dd_strategy,total_return_pct,total_return_50_50,sharpe_50_50,max_dd_50_50,pair,entry,exit,window,floor,adf_statistic,p_value
-0.2993196433623666,-0.3717183157297347,64.64174454828661,-1.489469600288139,-0.5963128447307158,38.058924766093625,0.866764158842659,-0.22465070918505048,EEM/VWO,2.0,0.05,40,0.0,-2.4073006251173323,0.1396864547787658
0.6901494633754475,1.6109914757605965,18.22429906542056,-0.6318673447806136,0.936715855088153,38.058924766093625,0.866764158842659,-0.22465070918505048,EEM/VWO,2.0,0.05,40,0.5,-2.4073006251173323,0.1396864547787658
-0.04667343518653361,-0.0642799781916137,52.49221183800623,-1.2526479465173526,-0.08718460358793635,38.058924766093625,0.866764158842659,-0.22465070918505048,EEM/VWO,2.0,0.05,50,0.0,-2.4073006251173323,0.1396864547787658
0.5045833695295407,1.0571043739848043,22.585669781931465,-0.7377323133923048,0.6295950625549875,38.058924766093625,0.866764158842659,-0.22465070918505048,EEM/VWO,2.0,0.05,50,0.5,-2.4073006251173323,0.1396864547787658
0.20820268231227393,0.2697844557950503,59.345794392523366,-0.8717097972287547,0.38299370260142734,38.058924766093625,0.866764158842659,-0.22465070918505048,EEM/VWO,2.0,0.05,60,0.0,-2.4073006251173323,0.1396864547787658
0.032713459294114206,0.06399892576887853,26.012461059190027,-0.7377323133923048,0.03735629637494515,38.058924766093625,0.866764158842659,-0.22465070918505048,EEM/VWO,2.0,0.05,60,0.5,-2.4073006251173323,0.1396864547787658
0.21642060469038094,0.3012115212042627,51.4018691588785,-1.1384218641221464,0.4062843732339991,38.058924766093625,0.866764158842659,-0.22465070918505048,EEM/VWO,2.0,0.25,40,0.0,-2.4073006251173323,0.1396864547787658
0.6861918215050706,1.6085176804632177,18.06853582554517,-0.6318673447806136,0.9250861376966161,38.058924766093625,0.866764158842659,-0.22465070918505048,EEM/VWO,2.0,0.25,40,0.5,-2.4073006251173323,0.1396864547787658
0.7981431946896811,1.252671049500279,40.49844236760124,-0.7377323133923048,1.4778895599108162,38.058924766093625,0.866764158842659,-0.22465070918505048,EEM/VWO,2.0,0.25,50,0.0,-2.4073006251173323,0.1396864547787658
0.9387819954455633,2.1361929380095037,19.314641744548286,-0.7377323133923048,1.3501976192050897,38.058924766093625,0.866764158842659,-0.22465070918505048,EEM/VWO,2.0,0.25,50,0.5,-2.4073006251173323,0.1396864547787658
0.5807501040575578,0.8523020634936204,46.26168224299065,-0.7377323133923048,0.8932537868987263,38.058924766093625,0.866764158842659,-0.22465070918505048,EEM/VWO,2.0,0.25,60,0.0,-2.4073006251173323,0.1396864547787658
0.7434141111525734,1.588119352411556,21.806853582554517,-0.7377323133923048,0.9078983472611327,38.058924766093625,0.866764158842659,-0.22465070918505048,EEM/VWO,2.0,0.25,60,0.5,-2.4073006251173323,0.1396864547787658
0.11179781345383324,0.18652994048445354,35.66978193146417,-0.6318673447806136,0.1845239341567095,38.058924766093625,0.866764158842659,-0.22465070918505048,EEM/VWO,2.5,0.05,40,0.0,-2.4073006251173323,0.1396864547787658
0.6901494633754475,1.6109914757605965,18.22429906542056,-0.6318673447806136,0.936715855088153,38.058924766093625,0.866764158842659,-0.22465070918505048,EEM/VWO,2.5,0.05,40,0.5,-2.4073006251173323,0.1396864547787658
0.6890201194257543,1.2411565703058474,30.68535825545171,-0.7377323133923048,1.077198564214342,38.058924766093625,0.866764158842659,-0.22465070918505048,EEM/VWO,2.5,0.05,50,0.0,-2.4073006251173323,0.1396864547787658
0.7934813175550423,1.7804413004749806,19.781931464174455,-0.7377323133923048,1.0832471302744733,38.058924766093625,0.866764158842659,-0.22465070918505048,EEM/VWO,2.5,0.05,50,0.5,-2.4073006251173323,0.1396864547787658
0.9636521429513184,1.709238712130536,31.775700934579437,-0.7377323133923048,1.3185615119179985,38.058924766093625,0.866764158842659,-0.22465070918505048,EEM/VWO,2.5,0.05,60,0.0,-2.4073006251173323,0.1396864547787658
0.46933565791702203,1.0184178537093838,21.18380062305296,-0.7377323133923048,0.4514262618153898,38.058924766093625,0.866764158842659,-0.22465070918505048,EEM/VWO,2.5,0.05,60,0.5,-2.4073006251173323,0.1396864547787658
0.8401301619953679,1.6403334921525168,26.168224299065418,-0.6318673447806136,1.3127499192924705,38.058924766093625,0.866764158842659,-0.22465070918505048,EEM/VWO,2.5,0.25,40,0.0,-2.4073006251173323,0.1396864547787658
0.6861918215050706,1.6085176804632177,18.06853582554517,-0.6318673447806136,0.9250861376966161,38.058924766093625,0.866764158842659,-0.22465070918505048,EEM/VWO,2.5,0.25,40,0.5,-2.4073006251173323,0.1396864547787658
0.8688552074102233,1.6084051198223135,29.12772585669782,-0.7377323133923048,1.4077903795398161,38.058924766093625,0.866764158842659,-0.22465070918505048,EEM/VWO,2.5,0.25,50,0.0,-2.4073006251173323,0.1396864547787658
0.8363594440685194,1.9316093114787316,18.69158878504673,-0.7377323133923048,1.1822870298754984,38.058924766093625,0.866764158842659,-0.22465070918505048,EEM/VWO,2.5,0.25,50,0.5,-2.4073006251173323,0.1396864547787658
0.923422417159346,1.6747452271156398,30.373831775700932,-0.7377323133923048,1.1343856668167633,38.058924766093625,0.866764158842659,-0.22465070918505048,EEM/VWO,2.5,0.25,60,0.0,-2.4073006251173323,0.1396864547787658
0.6922227777687198,1.58911232633657,18.847352024922117,-0.7377323133923048,0.753698986934628,38.058924766093625,0.866764158842659,-0.22465070918505048,EEM/VWO,2.5,0.25,60,0.5,-2.4073006251173323,0.1396864547787658
